Location,MHI,Angina?,Data_value
Alabama,42830,Yes,5.6
Alaska,71583,Yes,2.4
Arizona,50068,Yes,4
Arkansas,41262,Yes,6.2
California,61933,Yes,3.7
Colorado,61303,Yes,3
Connecticut,70048,Yes,3.7
Delaware,59716,Yes,4.8
District of Columbia,71648,Yes,2.4
Florida,47463,Yes,5.4
Georgia,49321,Yes,4.1
Hawaii,69592,Yes,3.4
Idaho,47861,Yes,3.4
Illinois,57444,Yes,3.6
Indiana,49446,Yes,4.6
Iowa,53712,Yes,4.1
Kansas,52504,Yes,4.2
Kentucky,42958,Yes,6
Louisiana,44555,Yes,6.2
Maine,49462,Yes,5.4
Maryland,73971,Yes,3.2
Massachusetts,69160,Yes,4.3
Michigan,49847,Yes,5.4
Minnesota,61481,Yes,3.5
Mississippi,39680,Yes,4.7
Missouri,48363,Yes,4.8
Montana,46328,Yes,3.6
Nebraska,52686,Yes,3.9
Nevada,51450,Yes,4.7
New Hampshire,66532,Yes,4.2
New Jersey,71919,Yes,4.4
New Mexico,44803,Yes,3.9
New York,58878,Yes,4.2
North Carolina,46556,Yes,5
North Dakota,59029,Yes,4.1
Ohio,49308,Yes,4.8
Oklahoma,47529,Yes,5.4
Oregon,51075,Yes,4
Pennsylvania,53234,Yes,5.1
Rhode Island,54891,Yes,4.2
South Carolina,45238,Yes,4.8
South Dakota,50979,Yes,4.2
Tennessee,44361,Yes,5.6
Texas,53035,Yes,3.7
Utah,60922,Yes,2.5
Vermont,54166,Yes,4.1
Virginia,64902,Yes,4
Washington,61366,Yes,3.6
West Virginia,41059,Yes,7.8
Wisconsin,52622,Yes,3.7
Wyoming,57055,Yes,4
Puerto Rico,18928,Yes,8.5
